"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Aug-2024","EQ","1,070.00","1,078.50","1,061.00","1,068.85","1,061.00","1,064.25","1,068.98","1,222.00","597.35","9,33,547","99,79,44,033.70","33,543"
"29-Aug-2024","EQ","1,088.00","1,088.00","1,061.00","1,084.50","1,071.00","1,068.85","1,069.43","1,222.00","597.35","15,20,168","1,62,57,09,979.50","42,458"
"28-Aug-2024","EQ","1,080.45","1,095.00","1,073.00","1,079.15","1,083.00","1,084.50","1,085.56","1,222.00","597.35","14,81,538","1,60,82,96,041.20","40,950"
"27-Aug-2024","EQ","1,061.90","1,090.00","1,045.00","1,052.05","1,080.50","1,079.15","1,073.86","1,222.00","597.35","31,16,822","3,34,70,32,926.25","69,139"
"26-Aug-2024","EQ","1,065.00","1,073.75","1,049.70","1,061.35","1,051.95","1,052.05","1,057.03","1,222.00","597.35","11,56,208","1,22,21,45,673.15","41,063"
"23-Aug-2024","EQ","1,080.30","1,080.30","1,059.00","1,075.50","1,060.55","1,061.35","1,067.47","1,222.00","597.35","9,22,493","98,47,36,347.30","37,561"
"22-Aug-2024","EQ","1,092.00","1,092.00","1,072.50","1,084.15","1,076.90","1,075.50","1,079.14","1,222.00","597.35","10,19,258","1,09,99,21,311.75","39,883"
"21-Aug-2024","EQ","1,069.90","1,086.75","1,065.00","1,067.95","1,081.75","1,084.15","1,077.55","1,222.00","597.35","13,81,891","1,48,90,60,470.70","41,964"
"20-Aug-2024","EQ","1,074.95","1,082.00","1,065.55","1,072.35","1,068.00","1,067.95","1,073.51","1,222.00","597.35","11,45,286","1,22,94,78,762.30","43,577"
"19-Aug-2024","EQ","1,059.65","1,075.00","1,056.65","1,057.30","1,071.00","1,072.35","1,068.55","1,222.00","597.35","17,79,464","1,90,14,38,101.50","48,113"
"16-Aug-2024","EQ","1,040.00","1,065.00","1,037.30","1,027.30","1,058.20","1,057.30","1,050.10","1,222.00","597.35","26,11,128","2,74,19,57,165.25","69,813"
"14-Aug-2024","EQ","1,042.50","1,044.00","1,003.75","1,028.60","1,034.00","1,027.30","1,021.97","1,222.00","597.35","33,80,840","3,45,51,20,841.70","1,14,177"
"13-Aug-2024","EQ","1,086.00","1,089.90","1,020.10","1,074.35","1,033.00","1,028.60","1,051.86","1,222.00","597.35","37,76,212","3,97,20,38,281.25","1,22,318"
"12-Aug-2024","EQ","1,125.00","1,130.30","1,071.10","1,133.45","1,077.00","1,074.35","1,090.03","1,222.00","597.35","59,39,943","6,47,47,42,163.15","1,66,108"
"09-Aug-2024","EQ","1,155.00","1,160.00","1,128.95","1,125.60","1,136.60","1,133.45","1,138.22","1,222.00","597.35","35,98,457","4,09,58,35,483.55","90,728"
"08-Aug-2024","EQ","1,126.00","1,148.40","1,118.90","1,123.55","1,124.00","1,125.60","1,133.12","1,222.00","597.35","26,15,890","2,96,41,19,380.30","68,807"
"07-Aug-2024","EQ","1,115.00","1,127.80","1,084.75","1,079.55","1,124.00","1,123.55","1,112.01","1,222.00","597.35","24,88,460","2,76,71,86,748.60","64,109"
"06-Aug-2024","EQ","1,120.00","1,136.90","1,076.20","1,107.65","1,084.80","1,079.55","1,106.44","1,222.00","597.35","33,43,418","3,69,92,88,150.95","86,518"
